timestamp,energy
2025-06-01 00:00:00,13277.72932
2025-06-01 01:00:00,12367.734718
2025-06-01 02:00:00,11678.103652
2025-06-01 03:00:00,11231.538259
2025-06-01 04:00:00,11023.126274
2025-06-01 05:00:00,10880.740578
2025-06-01 06:00:00,10824.881979
2025-06-01 07:00:00,11149.930706
2025-06-01 08:00:00,11999.86586
2025-06-01 09:00:00,12843.211971
2025-06-01 10:00:00,13606.018429
2025-06-01 11:00:00,14550.705217
2025-06-01 12:00:00,15534.499613
2025-06-01 13:00:00,16574.475167
2025-06-01 14:00:00,17804.873536
2025-06-01 15:00:00,18939.395154
2025-06-01 16:00:00,19855.344528
2025-06-01 17:00:00,20203.696896
2025-06-01 18:00:00,19857.688002
2025-06-01 19:00:00,19033.302772
2025-06-01 20:00:00,17979.368039
2025-06-01 21:00:00,17465.780008
2025-06-01 22:00:00,16338.893743
2025-06-01 23:00:00,14941.536908
2025-06-02 00:00:00,13864.915593
2025-06-02 01:00:00,13010.861884
2025-06-02 02:00:00,12388.737493
2025-06-02 03:00:00,12095.089249
2025-06-02 04:00:00,12168.25246
2025-06-02 05:00:00,12583.403951
2025-06-02 06:00:00,13115.395879
2025-06-02 07:00:00,13739.569837
2025-06-02 08:00:00,14613.466725
2025-06-02 09:00:00,15770.879
2025-06-02 10:00:00,17149.503913
2025-06-02 11:00:00,18556.829509
2025-06-02 12:00:00,19910.618215
2025-06-02 13:00:00,21045.07986
2025-06-02 14:00:00,21912.641962
2025-06-02 15:00:00,22447.957878
2025-06-02 16:00:00,22720.686453
2025-06-02 17:00:00,22764.864109
2025-06-02 18:00:00,22409.932041
2025-06-02 19:00:00,21511.179491
2025-06-02 20:00:00,20765.736064
2025-06-02 21:00:00,20080.589129
2025-06-02 22:00:00,18816.569624
2025-06-02 23:00:00,17375.762763
2025-06-03 00:00:00,16114.986322
2025-06-03 01:00:00,15197.820358
2025-06-03 02:00:00,14426.469468
2025-06-03 03:00:00,13902.93113
2025-06-03 04:00:00,13730.638744
2025-06-03 05:00:00,13963.294857
2025-06-03 06:00:00,14330.49317
2025-06-03 07:00:00,14816.017401
2025-06-03 08:00:00,15448.539578
2025-06-03 09:00:00,16167.616909
2025-06-03 10:00:00,16787.660578
2025-06-03 11:00:00,17552.272135
2025-06-03 12:00:00,18801.358898
2025-06-03 13:00:00,19915.190837
2025-06-03 14:00:00,20825.260338
2025-06-03 15:00:00,21391.050291
2025-06-03 16:00:00,21807.589618
2025-06-03 17:00:00,21923.844976
2025-06-03 18:00:00,21282.222607
2025-06-03 19:00:00,20529.311901
2025-06-03 20:00:00,20024.598848
2025-06-03 21:00:00,19477.404543
2025-06-03 22:00:00,17925.456973
2025-06-03 23:00:00,15908.253661
2025-06-04 00:00:00,14489.983844
2025-06-04 01:00:00,13591.676939
2025-06-04 02:00:00,12930.816077
2025-06-04 03:00:00,12554.020305
2025-06-04 04:00:00,12549.650319
2025-06-04 05:00:00,12895.548439
2025-06-04 06:00:00,13319.283075
2025-06-04 07:00:00,13477.552156
2025-06-04 08:00:00,13693.812948
2025-06-04 09:00:00,14012.685262
2025-06-04 10:00:00,14446.09894
2025-06-04 11:00:00,14915.337791
2025-06-04 12:00:00,15357.851973
2025-06-04 13:00:00,15976.312306
2025-06-04 14:00:00,16643.857073
2025-06-04 15:00:00,17301.703654
2025-06-04 16:00:00,17874.856254
2025-06-04 17:00:00,18265.449302
2025-06-04 18:00:00,18190.90376
2025-06-04 19:00:00,17697.00121
2025-06-04 20:00:00,17279.989682
2025-06-04 21:00:00,16842.793493
2025-06-04 22:00:00,15750.859878
2025-06-04 23:00:00,14346.216012
2025-06-05 00:00:00,13186.247714
2025-06-05 01:00:00,12424.944076
2025-06-05 02:00:00,11927.811675
2025-06-05 03:00:00,11679.017487
2025-06-05 04:00:00,11756.731468
2025-06-05 05:00:00,12240.726045
2025-06-05 06:00:00,12893.852578
2025-06-05 07:00:00,13370.885278
2025-06-05 08:00:00,13881.746169
2025-06-05 09:00:00,14386.467474
2025-06-05 10:00:00,14793.12831
2025-06-05 11:00:00,14993.494271
2025-06-05 12:00:00,15406.173533
2025-06-05 13:00:00,16498.315591
2025-06-05 14:00:00,18034.133613
2025-06-05 15:00:00,19670.907656
2025-06-05 16:00:00,20818.323182
2025-06-05 17:00:00,21391.58018
2025-06-05 18:00:00,21384.710066
2025-06-05 19:00:00,20599.732033
2025-06-05 20:00:00,19709.679214
2025-06-05 21:00:00,19233.888704
2025-06-05 22:00:00,18238.259683
2025-06-05 23:00:00,17105.137043
2025-06-06 00:00:00,16026.06614
2025-06-06 01:00:00,15069.241317
2025-06-06 02:00:00,14413.531238
2025-06-06 03:00:00,14198.777692
2025-06-06 04:00:00,14149.168898
2025-06-06 05:00:00,14386.725126
2025-06-06 06:00:00,14510.94888
2025-06-06 07:00:00,14914.137974
2025-06-06 08:00:00,15948.102917
2025-06-06 09:00:00,16915.524714
2025-06-06 10:00:00,17852.011618
2025-06-06 11:00:00,19053.987527
2025-06-06 12:00:00,20280.470212
2025-06-06 13:00:00,21137.773151
2025-06-06 14:00:00,21911.365625
2025-06-06 15:00:00,21885.224202
2025-06-06 16:00:00,22105.882535
2025-06-06 17:00:00,22206.106101
2025-06-06 18:00:00,22395.095792
2025-06-06 19:00:00,22043.062947
2025-06-06 20:00:00,21193.421388
2025-06-06 21:00:00,20427.270154
2025-06-06 22:00:00,19068.976787
2025-06-06 23:00:00,17732.519739
2025-06-07 00:00:00,16537.931324
2025-06-07 01:00:00,15622.926649
2025-06-07 02:00:00,14949.192351
2025-06-07 03:00:00,14514.354217
2025-06-07 04:00:00,14251.601868
2025-06-07 05:00:00,14195.680918
2025-06-07 06:00:00,14096.781811
2025-06-07 07:00:00,14302.81827
2025-06-07 08:00:00,15337.614471
2025-06-07 09:00:00,16569.484267
2025-06-07 10:00:00,17702.952475
2025-06-07 11:00:00,18605.495434
2025-06-07 12:00:00,19560.570382
2025-06-07 13:00:00,20353.035644
2025-06-07 14:00:00,21180.632154
2025-06-07 15:00:00,21774.807507
2025-06-07 16:00:00,22046.093603
2025-06-07 17:00:00,21969.794891
2025-06-07 18:00:00,22056.390327
2025-06-07 19:00:00,21511.103649
2025-06-07 20:00:00,20586.234081
2025-06-07 21:00:00,19897.151678
2025-06-07 22:00:00,18865.216407
2025-06-07 23:00:00,17667.638068
2025-06-08 00:00:00,16616.437057
2025-06-08 01:00:00,15731.949799
2025-06-08 02:00:00,14903.47585
2025-06-08 03:00:00,14321.798702
2025-06-08 04:00:00,13936.872913
2025-06-08 05:00:00,13656.526854
2025-06-08 06:00:00,13370.898426
2025-06-08 07:00:00,13562.151029
2025-06-08 08:00:00,14458.691772
2025-06-08 09:00:00,15575.875017
2025-06-08 10:00:00,16474.51572
2025-06-08 11:00:00,17803.15886
2025-06-08 12:00:00,19268.983777
2025-06-08 13:00:00,20807.953234
2025-06-08 14:00:00,22001.900318
2025-06-08 15:00:00,22513.716022
2025-06-08 16:00:00,22839.908737
